Quantify Compound Summary Report 

Printed Fri Nov 01 09:11:15 2013

Compound 1:  buspirone

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
106	106	SP118414_20131030_CYP3A4_Stab_302	Blank ketoconazole	Analyte	1.00	0.95	135674		136000	bb		
107	107	SP118414_20131030_CYP3A4_Stab_303	T60 ketoconazole	Analyte	1.00	0.96	137034		137000	bb		
108	108	SP118414_20131030_CYP3A4_Stab_304	T30 ketoconazole	Analyte	1.00	0.96	144788		145000	bb		
109	109	SP118414_20131030_CYP3A4_Stab_305	T15 ketoconazole	Analyte	1.00	0.96	144381		144000	bb		
110	110	SP118414_20131030_CYP3A4_Stab_306	T10 ketoconazole	Analyte	1.00	0.95	136676		137000	bb		
111	111	SP118414_20131030_CYP3A4_Stab_307	T5 ketoconazole	Analyte	1.00	0.96	130513		131000	bb		
112	112	SP118414_20131030_CYP3A4_Stab_308	T0 ketoconazole	Analyte	1.00	0.96	139671		140000	bb		
113	113	SP118414_20131030_CYP3A4_Stab_372	Blank ketoconazole	Analyte	1.00	0.96	134740		135000	bb		
114	114	SP118414_20131030_CYP3A4_Stab_373	T60 ketoconazole	Analyte	1.00	0.96	126963		127000	bb		
115	115	SP118414_20131030_CYP3A4_Stab_374	T30 ketoconazole	Analyte	1.00	0.95	138300		138000	bb		
116	116	SP118414_20131030_CYP3A4_Stab_375	T15 ketoconazole	Analyte	1.00	0.95	133991		134000	bb		
117	117	SP118414_20131030_CYP3A4_Stab_376	T10 ketoconazole	Analyte	1.00	0.95	131619		132000	bb		
118	118	SP118414_20131030_CYP3A4_Stab_377	T5 ketoconazole	Analyte	1.00	0.95	127697		128000	bb		
119	119	SP118414_20131030_CYP3A4_Stab_378	T0 ketoconazole	Analyte	1.00	0.96	142645		143000	bb		
120	120	SP118414_20131030_CYP3A4_Stab_449	Blank ketoconazole	Analyte	1.00	0.95	135067		135000	bb		
121	121	SP118414_20131030_CYP3A4_Stab_450	T60 ketoconazole	Analyte	1.00	0.95	135973		136000	bb		
122	122	SP118414_20131030_CYP3A4_Stab_451	T30 ketoconazole	Analyte	1.00	0.95	131308		131000	bb		
123	123	SP118414_20131030_CYP3A4_Stab_452	T15 ketoconazole	Analyte	1.00	0.95	133183		133000	bb		
124	124	SP118414_20131030_CYP3A4_Stab_453	T10 ketoconazole	Analyte	1.00	0.95	129292		129000	bb		
125	125	SP118414_20131030_CYP3A4_Stab_454	T5 ketoconazole	Analyte	1.00	0.96	126932		127000	bb		
126	126	SP118414_20131030_CYP3A4_Stab_455	T0 ketoconazole	Analyte	1.00	0.95	139481		139000	bb		

Quantify Compound Summary Report 

Printed Fri Nov 01 09:11:15 2013

Compound 1:  dextromethorphan

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
127	127	SP118414_20131030_CYP3A4_Stab_36	Blank dextraomethorphan	Analyte		0.86	112	224983	0.000496	bb		
128	128	SP118414_20131030_CYP3A4_Stab_37	T60 dextraomethorphan	Analyte		0.86	223617	223934	0.999	bb		
129	129	SP118414_20131030_CYP3A4_Stab_38	T30 dextraomethorphan	Analyte		0.86	247309	227622	1.09	bb		
130	130	SP118414_20131030_CYP3A4_Stab_39	T15 dextraomethorphan	Analyte		0.86	235872	227241	1.04	bb		
131	131	SP118414_20131030_CYP3A4_Stab_40	T10 dextraomethorphan	Analyte		0.86	258721	262445	0.986	bb		
132	132	SP118414_20131030_CYP3A4_Stab_41	T5 dextraomethorphan	Analyte		0.86	235785	252579	0.934	bb		
133	133	SP118414_20131030_CYP3A4_Stab_42	T0 dextraomethorphan	Analyte		0.86	348461	259770	1.34	bb		
134	134	SP118414_20131030_CYP3A4_Stab_155	Blank dextraomethorphan	Analyte		0.85	14	222696	0.0000650	MM		
135	135	SP118414_20131030_CYP3A4_Stab_156	T60 dextraomethorphan	Analyte		0.86	222948	232143	0.960	bb		
136	136	SP118414_20131030_CYP3A4_Stab_157	T30 dextraomethorphan	Analyte		0.86	204440	199497	1.02	bb		
137	137	SP118414_20131030_CYP3A4_Stab_158	T15 dextraomethorphan	Analyte		0.86	222274	209495	1.06	bb		
138	138	SP118414_20131030_CYP3A4_Stab_159	T10 dextraomethorphan	Analyte		0.86	234011	221490	1.06	bb		
139	139	SP118414_20131030_CYP3A4_Stab_160	T5 dextraomethorphan	Analyte		0.86	217758	196331	1.11	bb		
140	140	SP118414_20131030_CYP3A4_Stab_161	T0 dextraomethorphan	Analyte		0.86	300745	210935	1.43	bb		
141	141	SP118414_20131030_CYP3A4_Stab_232	Blank dextraomethorphan	Analyte		0.86	40	193914	0.000204	MM		
142	142	SP118414_20131030_CYP3A4_Stab_233	T60 dextraomethorphan	Analyte		0.86	209175	195997	1.07	bb		
143	143	SP118414_20131030_CYP3A4_Stab_234	T30 dextraomethorphan	Analyte		0.86	193754	195194	0.993	bb		
144	144	SP118414_20131030_CYP3A4_Stab_235	T15 dextraomethorphan	Analyte		0.86	206658	197367	1.05	bb		
145	145	SP118414_20131030_CYP3A4_Stab_236	T10 dextraomethorphan	Analyte		0.86	204313	194909	1.05	bb		
146	146	SP118414_20131030_CYP3A4_Stab_237	T5 dextraomethorphan	Analyte		0.86	205095	197472	1.04	bb		
147	147	SP118414_20131030_CYP3A4_Stab_238	T0 dextraomethorphan	Analyte		0.85	279533	211376	1.32	bb		
148	148	SP118414_20131030_CYP3A4_Stab_309	Blank dextraomethorphan	Analyte		0.86	28	209466	0.000136	MM		
149	149	SP118414_20131030_CYP3A4_Stab_310	T60 dextraomethorphan	Analyte		0.86	202146	186227	1.09	bb		
150	150	SP118414_20131030_CYP3A4_Stab_311	T30 dextraomethorphan	Analyte		0.86	213075	194807	1.09	bb		
151	151	SP118414_20131030_CYP3A4_Stab_312	T15 dextraomethorphan	Analyte		0.86	214377	200730	1.07	bb		
152	152	SP118414_20131030_CYP3A4_Stab_313	T10 dextraomethorphan	Analyte		0.86	208239	191624	1.09	bb		
153	153	SP118414_20131030_CYP3A4_Stab_314	T5 dextraomethorphan	Analyte		0.86	216926	192350	1.13	bb		
154	154	SP118414_20131030_CYP3A4_Stab_315	T0 dextraomethorphan	Analyte		0.86	282210	212307	1.33	bb		
155	155	SP118414_20131030_CYP3A4_Stab_379	Blank dextraomethorphan	Analyte		0.86	18	202975	0.0000905	MM		
156	156	SP118414_20131030_CYP3A4_Stab_380	T60 dextraomethorphan	Analyte		0.86	37437	195974	0.191	bb		
157	157	SP118414_20131030_CYP3A4_Stab_381	T30 dextraomethorphan	Analyte		0.86	35809	196540	0.182	bb		
158	158	SP118414_20131030_CYP3A4_Stab_382	T15 dextraomethorphan	Analyte		0.86	37826	197959	0.191	bb		
159	159	SP118414_20131030_CYP3A4_Stab_383	T10 dextraomethorphan	Analyte		0.86	37188	188958	0.197	bb		
160	160	SP118414_20131030_CYP3A4_Stab_384	T5 dextraomethorphan	Analyte		0.86	36500	193699	0.188	bb		
161	161	SP118414_20131030_CYP3A4_Stab_385	T0 dextraomethorphan	Analyte		0.86	48973	204361	0.240	bb		
162	162	SP118414_20131030_CYP3A4_Stab_456	Blank dextraomethorphan	Analyte		0.86	10	188466	0.0000550	MM		
163	163	SP118414_20131030_CYP3A4_Stab_457	T60 dextraomethorphan	Analyte		0.86	53998	196513	0.275	bb		
164	164	SP118414_20131030_CYP3A4_Stab_458	T30 dextraomethorphan	Analyte		0.86	55503	199073	0.279	bb		
165	165	SP118414_20131030_CYP3A4_Stab_459	T15 dextraomethorphan	Analyte		0.86	59425	197338	0.301	bb		
166	166	SP118414_20131030_CYP3A4_Stab_460	T10 dextraomethorphan	Analyte		0.86	53262	190701	0.279	bb		
167	167	SP118414_20131030_CYP3A4_Stab_461	T5 dextraomethorphan	Analyte		0.86	55926	201361	0.278	bb		
168	168	SP118414_20131030_CYP3A4_Stab_462	T0 dextraomethorphan	Analyte		0.86	75926	205365	0.370	bb		

Compound 2:  albendazole

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
127	127	SP118414_20131030_CYP3A4_Stab_36	Blank dextraomethorphan	Analyte	1.00	0.95	224983		225000	bb		
128	128	SP118414_20131030_CYP3A4_Stab_37	T60 dextraomethorphan	Analyte	1.00	0.95	223934		224000	bb		
129	129	SP118414_20131030_CYP3A4_Stab_38	T30 dextraomethorphan	Analyte	1.00	0.95	227622		228000	bb		
130	130	SP118414_20131030_CYP3A4_Stab_39	T15 dextraomethorphan	Analyte	1.00	0.95	227241		227000	bb		
131	131	SP118414_20131030_CYP3A4_Stab_40	T10 dextraomethorphan	Analyte	1.00	0.95	262445		262000	bb		
132	132	SP118414_20131030_CYP3A4_Stab_41	T5 dextraomethorphan	Analyte	1.00	0.95	252579		253000	bb		
133	133	SP118414_20131030_CYP3A4_Stab_42	T0 dextraomethorphan	Analyte	1.00	0.95	259770		260000	bb		
134	134	SP118414_20131030_CYP3A4_Stab_155	Blank dextraomethorphan	Analyte	1.00	0.95	222696		223000	bb		
135	135	SP118414_20131030_CYP3A4_Stab_156	T60 dextraomethorphan	Analyte	1.00	0.96	232143		232000	bb		
136	136	SP118414_20131030_CYP3A4_Stab_157	T30 dextraomethorphan	Analyte	1.00	0.96	199497		199000	bb		
137	137	SP118414_20131030_CYP3A4_Stab_158	T15 dextraomethorphan	Analyte	1.00	0.95	209495		209000	bb		
138	138	SP118414_20131030_CYP3A4_Stab_159	T10 dextraomethorphan	Analyte	1.00	0.96	221490		221000	bb		
139	139	SP118414_20131030_CYP3A4_Stab_160	T5 dextraomethorphan	Analyte	1.00	0.95	196331		196000	bb		
140	140	SP118414_20131030_CYP3A4_Stab_161	T0 dextraomethorphan	Analyte	1.00	0.95	210935		211000	bb		
141	141	SP118414_20131030_CYP3A4_Stab_232	Blank dextraomethorphan	Analyte	1.00	0.95	193914		194000	bb		
142	142	SP118414_20131030_CYP3A4_Stab_233	T60 dextraomethorphan	Analyte	1.00	0.95	195997		196000	bb		
143	143	SP118414_20131030_CYP3A4_Stab_234	T30 dextraomethorphan	Analyte	1.00	0.95	195194		195000	bb		
144	144	SP118414_20131030_CYP3A4_Stab_235	T15 dextraomethorphan	Analyte	1.00	0.95	197367		197000	bb		
145	145	SP118414_20131030_CYP3A4_Stab_236	T10 dextraomethorphan	Analyte	1.00	0.95	194909		195000	bb		
146	146	SP118414_20131030_CYP3A4_Stab_237	T5 dextraomethorphan	Analyte	1.00	0.95	197472		197000	bb		
147	147	SP118414_20131030_CYP3A4_Stab_238	T0 dextraomethorphan	Analyte	1.00	0.95	211376		211000	bb		
148	148	SP118414_20131030_CYP3A4_Stab_309	Blank dextraomethorphan	Analyte	1.00	0.95	209466		209000	bb		
149	149	SP118414_20131030_CYP3A4_Stab_310	T60 dextraomethorphan	Analyte	1.00	0.95	186227		186000	bb		
150	150	SP118414_20131030_CYP3A4_Stab_311	T30 dextraomethorphan	Analyte	1.00	0.95	194807		195000	bb		
151	151	SP118414_20131030_CYP3A4_Stab_312	T15 dextraomethorphan	Analyte	1.00	0.95	200730		201000	bb		
152	152	SP118414_20131030_CYP3A4_Stab_313	T10 dextraomethorphan	Analyte	1.00	0.95	191624		192000	bb		
153	153	SP118414_20131030_CYP3A4_Stab_314	T5 dextraomethorphan	Analyte	1.00	0.95	192350		192000	bb		
154	154	SP118414_20131030_CYP3A4_Stab_315	T0 dextraomethorphan	Analyte	1.00	0.95	212307		212000	bb		
155	155	SP118414_20131030_CYP3A4_Stab_379	Blank dextraomethorphan	Analyte	1.00	0.95	202975		203000	bb		
156	156	SP118414_20131030_CYP3A4_Stab_380	T60 dextraomethorphan	Analyte	1.00	0.95	195974		196000	bb		
157	157	SP118414_20131030_CYP3A4_Stab_381	T30 dextraomethorphan	Analyte	1.00	0.95	196540		197000	bb		
158	158	SP118414_20131030_CYP3A4_Stab_382	T15 dextraomethorphan	Analyte	1.00	0.95	197959		198000	bb		
159	159	SP118414_20131030_CYP3A4_Stab_383	T10 dextraomethorphan	Analyte	1.00	0.95	188958		189000	bb		
160	160	SP118414_20131030_CYP3A4_Stab_384	T5 dextraomethorphan	Analyte	1.00	0.95	193699		194000	bb		
161	161	SP118414_20131030_CYP3A4_Stab_385	T0 dextraomethorphan	Analyte	1.00	0.95	204361		204000	bb		
162	162	SP118414_20131030_CYP3A4_Stab_456	Blank dextraomethorphan	Analyte	1.00	0.95	188466		188000	bb		
163	163	SP118414_20131030_CYP3A4_Stab_457	T60 dextraomethorphan	Analyte	1.00	0.95	196513		197000	bb		
164	164	SP118414_20131030_CYP3A4_Stab_458	T30 dextraomethorphan	Analyte	1.00	0.95	199073		199000	bb		
165	165	SP118414_20131030_CYP3A4_Stab_459	T15 dextraomethorphan	Analyte	1.00	0.95	197338		197000	bb		
166	166	SP118414_20131030_CYP3A4_Stab_460	T10 dextraomethorphan	Analyte	1.00	0.95	190701		191000	bb		
167	167	SP118414_20131030_CYP3A4_Stab_461	T5 dextraomethorphan	Analyte	1.00	0.95	201361		201000	bb		
168	168	SP118414_20131030_CYP3A4_Stab_462	T0 dextraomethorphan	Analyte	1.00	0.95	205365		205000	bb		

Quantify Compound Summary Report 

Printed Fri Nov 01 09:11:15 2013

Compound 1:  propranolol

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
169	169	SP118414_20131030_CYP3A4_Stab_43	Blank propranolol	Analyte		0.85	27	263503	0.000103	MM		
170	170	SP118414_20131030_CYP3A4_Stab_44	T60 propranolol	Analyte		0.85	50456	240750	0.210	bb		
171	171	SP118414_20131030_CYP3A4_Stab_45	T30 propranolol	Analyte		0.85	52903	252091	0.210	bb		
172	172	SP118414_20131030_CYP3A4_Stab_46	T15 propranolol	Analyte		0.85	49708	250374	0.199	bb		
173	173	SP118414_20131030_CYP3A4_Stab_47	T10 propranolol	Analyte		0.85	51885	242073	0.214	bb		
174	174	SP118414_20131030_CYP3A4_Stab_48	T5 propranolol	Analyte		0.85	52522	247156	0.213	bb		
175	175	SP118414_20131030_CYP3A4_Stab_49	T0 propranolol	Analyte		0.85	72208	266846	0.271	bb		
176	176	SP118414_20131030_CYP3A4_Stab_162	Blank propranolol	Analyte		0.86	11	127749	0.0000831	MM		
177	177	SP118414_20131030_CYP3A4_Stab_163	T60 propranolol	Analyte		0.85	155352	207892	0.747	bb		
178	178	SP118414_20131030_CYP3A4_Stab_164	T30 propranolol	Analyte		0.86	162858	232081	0.702	bb		
179	179	SP118414_20131030_CYP3A4_Stab_165	T15 propranolol	Analyte		0.85	159733	216260	0.739	bb		
180	180	SP118414_20131030_CYP3A4_Stab_166	T10 propranolol	Analyte		0.85	172479	227982	0.757	bb		
181	181	SP118414_20131030_CYP3A4_Stab_167	T5 propranolol	Analyte		0.85	176610	225306	0.784	bb		
182	182	SP118414_20131030_CYP3A4_Stab_168	T0 propranolol	Analyte		0.86	213316	245476	0.869	bb		
183	183	SP118414_20131030_CYP3A4_Stab_239	Blank propranolol	Analyte		0.86	31	219188	0.000142	MM		
184	184	SP118414_20131030_CYP3A4_Stab_240	T60 propranolol	Analyte		0.85	140973	194903	0.723	bb		
185	185	SP118414_20131030_CYP3A4_Stab_241	T30 propranolol	Analyte		0.85	155112	222889	0.696	bb		
186	186	SP118414_20131030_CYP3A4_Stab_242	T15 propranolol	Analyte		0.86	147972	205160	0.721	bb		
187	187	SP118414_20131030_CYP3A4_Stab_243	T10 propranolol	Analyte		0.85	164807	209926	0.785	bb		
188	188	SP118414_20131030_CYP3A4_Stab_244	T5 propranolol	Analyte		0.86	148036	209727	0.706	bb		
189	189	SP118414_20131030_CYP3A4_Stab_245	T0 propranolol	Analyte		0.86	203812	222194	0.917	bb		
190	190	SP118414_20131030_CYP3A4_Stab_316	Blank propranolol	Analyte		0.86	39	201401	0.000195	MM		
191	191	SP118414_20131030_CYP3A4_Stab_317	T60 propranolol	Analyte		0.86	148823	202789	0.734	bb		
192	192	SP118414_20131030_CYP3A4_Stab_318	T30 propranolol	Analyte		0.85	150940	204161	0.739	bb		
193	193	SP118414_20131030_CYP3A4_Stab_319	T15 propranolol	Analyte		0.85	148906	210014	0.709	bb		
194	194	SP118414_20131030_CYP3A4_Stab_320	T10 propranolol	Analyte		0.86	134824	179496	0.751	bb		
195	195	SP118414_20131030_CYP3A4_Stab_321	T5 propranolol	Analyte		0.86	147892	199123	0.743	bb		
196	196	SP118414_20131030_CYP3A4_Stab_322	T0 propranolol	Analyte		0.86	194784	217397	0.896	bb		
197	197	SP118414_20131030_CYP3A4_Stab_386	Blank propranolol	Analyte		0.86	35	210663	0.000168	MM		
198	198	SP118414_20131030_CYP3A4_Stab_387	T60 propranolol	Analyte		0.86	153757	204693	0.751	bb		
199	199	SP118414_20131030_CYP3A4_Stab_388	T30 propranolol	Analyte		0.86	147670	209729	0.704	bb		
200	200	SP118414_20131030_CYP3A4_Stab_389	T15 propranolol	Analyte		0.85	147243	208967	0.705	bb		
201	201	SP118414_20131030_CYP3A4_Stab_390	T10 propranolol	Analyte		0.86	144572	202451	0.714	bb		
202	202	SP118414_20131030_CYP3A4_Stab_391	T5 propranolol	Analyte		0.86	151462	201649	0.751	bb		
203	203	SP118414_20131030_CYP3A4_Stab_392	T0 propranolol	Analyte		0.86	196485	225851	0.870	bb		
204	204	SP118414_20131030_CYP3A4_Stab_463	Blank propranolol	Analyte		0.86	286	209259	0.00137	bb		
205	205	SP118414_20131030_CYP3A4_Stab_464	T60 propranolol	Analyte		0.86	150173	215125	0.698	bb		
206	206	SP118414_20131030_CYP3A4_Stab_465	T30 propranolol	Analyte		0.86	149394	206845	0.722	bb		
207	207	SP118414_20131030_CYP3A4_Stab_466	T15 propranolol	Analyte		0.85	150019	209599	0.716	bb		
208	208	SP118414_20131030_CYP3A4_Stab_467	T10 propranolol	Analyte		0.86	149529	213582	0.700	bb		
209	209	SP118414_20131030_CYP3A4_Stab_468	T5 propranolol	Analyte		0.86	145061	200632	0.723	bb		
210	210	SP118414_20131030_CYP3A4_Stab_469	T0 propranolol	Analyte		0.86	193096	217703	0.887	bb		

Compound 2:  albendazole

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
169	169	SP118414_20131030_CYP3A4_Stab_43	Blank propranolol	Analyte	1.00	0.95	263503		264000	bb		
170	170	SP118414_20131030_CYP3A4_Stab_44	T60 propranolol	Analyte	1.00	0.95	240750		241000	bb		
171	171	SP118414_20131030_CYP3A4_Stab_45	T30 propranolol	Analyte	1.00	0.95	252091		252000	bb		
172	172	SP118414_20131030_CYP3A4_Stab_46	T15 propranolol	Analyte	1.00	0.95	250374		250000	bb		
173	173	SP118414_20131030_CYP3A4_Stab_47	T10 propranolol	Analyte	1.00	0.95	242073		242000	bb		
174	174	SP118414_20131030_CYP3A4_Stab_48	T5 propranolol	Analyte	1.00	0.95	247156		247000	bb		
175	175	SP118414_20131030_CYP3A4_Stab_49	T0 propranolol	Analyte	1.00	0.95	266846		267000	bb		
176	176	SP118414_20131030_CYP3A4_Stab_162	Blank propranolol	Analyte	1.00	0.95	127749		128000	bb		
177	177	SP118414_20131030_CYP3A4_Stab_163	T60 propranolol	Analyte	1.00	0.95	207892		208000	bb		
178	178	SP118414_20131030_CYP3A4_Stab_164	T30 propranolol	Analyte	1.00	0.95	232081		232000	bb		
179	179	SP118414_20131030_CYP3A4_Stab_165	T15 propranolol	Analyte	1.00	0.95	216260		216000	bb		
180	180	SP118414_20131030_CYP3A4_Stab_166	T10 propranolol	Analyte	1.00	0.95	227982		228000	bb		
181	181	SP118414_20131030_CYP3A4_Stab_167	T5 propranolol	Analyte	1.00	0.95	225306		225000	bb		
182	182	SP118414_20131030_CYP3A4_Stab_168	T0 propranolol	Analyte	1.00	0.95	245476		245000	bb		
183	183	SP118414_20131030_CYP3A4_Stab_239	Blank propranolol	Analyte	1.00	0.95	219188		219000	bb		
184	184	SP118414_20131030_CYP3A4_Stab_240	T60 propranolol	Analyte	1.00	0.95	194903		195000	bb		
185	185	SP118414_20131030_CYP3A4_Stab_241	T30 propranolol	Analyte	1.00	0.95	222889		223000	bb		
186	186	SP118414_20131030_CYP3A4_Stab_242	T15 propranolol	Analyte	1.00	0.95	205160		205000	bb		
187	187	SP118414_20131030_CYP3A4_Stab_243	T10 propranolol	Analyte	1.00	0.95	209926		210000	bb		
188	188	SP118414_20131030_CYP3A4_Stab_244	T5 propranolol	Analyte	1.00	0.96	209727		210000	bb		
189	189	SP118414_20131030_CYP3A4_Stab_245	T0 propranolol	Analyte	1.00	0.95	222194		222000	bb		
190	190	SP118414_20131030_CYP3A4_Stab_316	Blank propranolol	Analyte	1.00	0.95	201401		201000	bb		
191	191	SP118414_20131030_CYP3A4_Stab_317	T60 propranolol	Analyte	1.00	0.95	202789		203000	bb		
192	192	SP118414_20131030_CYP3A4_Stab_318	T30 propranolol	Analyte	1.00	0.95	204161		204000	bb		
193	193	SP118414_20131030_CYP3A4_Stab_319	T15 propranolol	Analyte	1.00	0.95	210014		210000	bb		
194	194	SP118414_20131030_CYP3A4_Stab_320	T10 propranolol	Analyte	1.00	0.95	179496		179000	bb		
195	195	SP118414_20131030_CYP3A4_Stab_321	T5 propranolol	Analyte	1.00	0.95	199123		199000	bb		
196	196	SP118414_20131030_CYP3A4_Stab_322	T0 propranolol	Analyte	1.00	0.95	217397		217000	bb		
197	197	SP118414_20131030_CYP3A4_Stab_386	Blank propranolol	Analyte	1.00	0.95	210663		211000	bb		
198	198	SP118414_20131030_CYP3A4_Stab_387	T60 propranolol	Analyte	1.00	0.95	204693		205000	bb		
199	199	SP118414_20131030_CYP3A4_Stab_388	T30 propranolol	Analyte	1.00	0.95	209729		210000	bb		
200	200	SP118414_20131030_CYP3A4_Stab_389	T15 propranolol	Analyte	1.00	0.95	208967		209000	bb		
201	201	SP118414_20131030_CYP3A4_Stab_390	T10 propranolol	Analyte	1.00	0.95	202451		202000	bb		
202	202	SP118414_20131030_CYP3A4_Stab_391	T5 propranolol	Analyte	1.00	0.95	201649		202000	bb		
203	203	SP118414_20131030_CYP3A4_Stab_392	T0 propranolol	Analyte	1.00	0.95	225851		226000	bb		
204	204	SP118414_20131030_CYP3A4_Stab_463	Blank propranolol	Analyte	1.00	0.95	209259		209000	bb		
205	205	SP118414_20131030_CYP3A4_Stab_464	T60 propranolol	Analyte	1.00	0.95	215125		215000	bb		
206	206	SP118414_20131030_CYP3A4_Stab_465	T30 propranolol	Analyte	1.00	0.95	206845		207000	bb		
207	207	SP118414_20131030_CYP3A4_Stab_466	T15 propranolol	Analyte	1.00	0.95	209599		210000	bb		
208	208	SP118414_20131030_CYP3A4_Stab_467	T10 propranolol	Analyte	1.00	0.95	213582		214000	bb		
209	209	SP118414_20131030_CYP3A4_Stab_468	T5 propranolol	Analyte	1.00	0.95	200632		201000	bb		
210	210	SP118414_20131030_CYP3A4_Stab_469	T0 propranolol	Analyte	1.00	0.95	217703		218000	bb		

Quantify Compound Summary Report 

Printed Fri Nov 01 09:11:15 2013

Compound 1:  ketoprofen

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
211	211	SP118414_20131030_CYP3A4_Stab_50	Blank ketoprofen	Analyte		1.09	969	228227	0.00424	MM		
212	212	SP118414_20131030_CYP3A4_Stab_51	T60 ketoprofen	Analyte		1.09	70060	240294	0.292	bb		
213	213	SP118414_20131030_CYP3A4_Stab_52	T30 ketoprofen	Analyte		1.09	71990	264947	0.272	bb		
214	214	SP118414_20131030_CYP3A4_Stab_53	T15 ketoprofen	Analyte		1.09	68293	234080	0.292	bd		
215	215	SP118414_20131030_CYP3A4_Stab_54	T10 ketoprofen	Analyte		1.09	68623	235725	0.291	bb		
216	216	SP118414_20131030_CYP3A4_Stab_55	T5 ketoprofen	Analyte		1.09	68727	230168	0.299	bb		
217	217	SP118414_20131030_CYP3A4_Stab_56	T0 ketoprofen	Analyte		1.09	81506	248853	0.328	bb		
218	218	SP118414_20131030_CYP3A4_Stab_169	Blank ketoprofen	Analyte		1.09	1554	224541	0.00692	MM		
219	219	SP118414_20131030_CYP3A4_Stab_170	T60 ketoprofen	Analyte		1.09	60835	207191	0.294	bd		
220	220	SP118414_20131030_CYP3A4_Stab_171	T30 ketoprofen	Analyte		1.09	63839	212387	0.301	bb		
221	221	SP118414_20131030_CYP3A4_Stab_172	T15 ketoprofen	Analyte		1.09	65596	223133	0.294	bb		
222	222	SP118414_20131030_CYP3A4_Stab_173	T10 ketoprofen	Analyte		1.09	55987	184184	0.304	bb		
223	223	SP118414_20131030_CYP3A4_Stab_174	T5 ketoprofen	Analyte		1.09	59688	193538	0.308	bb		
224	224	SP118414_20131030_CYP3A4_Stab_175	T0 ketoprofen	Analyte		1.09	72955	219743	0.332	bb		
225	225	SP118414_20131030_CYP3A4_Stab_246	Blank ketoprofen	Analyte		1.08	652	193719	0.00336	MM		
226	226	SP118414_20131030_CYP3A4_Stab_247	T60 ketoprofen	Analyte		1.09	60559	199397	0.304	bb		
227	227	SP118414_20131030_CYP3A4_Stab_248	T30 ketoprofen	Analyte		1.09	55994	197765	0.283	bb		
228	228	SP118414_20131030_CYP3A4_Stab_249	T15 ketoprofen	Analyte		1.09	56317	197463	0.285	bb		
229	229	SP118414_20131030_CYP3A4_Stab_250	T10 ketoprofen	Analyte		1.09	56997	192100	0.297	bb		
230	230	SP118414_20131030_CYP3A4_Stab_251	T5 ketoprofen	Analyte		1.09	54793	191480	0.286	bb		
231	231	SP118414_20131030_CYP3A4_Stab_252	T0 ketoprofen	Analyte		1.09	70380	220261	0.320	bb		
232	232	SP118414_20131030_CYP3A4_Stab_323	Blank ketoprofen	Analyte		1.08	751	208024	0.00361	MM		
233	233	SP118414_20131030_CYP3A4_Stab_324	T60 ketoprofen	Analyte		1.09	13082	203274	0.0644	bd		
234	234	SP118414_20131030_CYP3A4_Stab_325	T30 ketoprofen	Analyte		1.09	12790	196843	0.0650	bd		
235	235	SP118414_20131030_CYP3A4_Stab_326	T15 ketoprofen	Analyte		1.09	13324	199084	0.0669	bd		
236	236	SP118414_20131030_CYP3A4_Stab_327	T10 ketoprofen	Analyte		1.09	12988	197215	0.0659	bd		
237	237	SP118414_20131030_CYP3A4_Stab_328	T5 ketoprofen	Analyte		1.09	12676	189130	0.0670	bd		
238	238	SP118414_20131030_CYP3A4_Stab_329	T0 ketoprofen	Analyte		1.09	15275	207394	0.0737	bd		
239	239	SP118414_20131030_CYP3A4_Stab_393	Blank ketoprofen	Analyte		1.09	663	205711	0.00322	MM		
240	240	SP118414_20131030_CYP3A4_Stab_394	T60 ketoprofen	Analyte		1.09	49039	195074	0.251	bb		
241	241	SP118414_20131030_CYP3A4_Stab_395	T30 ketoprofen	Analyte		1.09	49119	194316	0.253	bb		
242	242	SP118414_20131030_CYP3A4_Stab_396	T15 ketoprofen	Analyte		1.09	46907	195927	0.239	bb		
243	243	SP118414_20131030_CYP3A4_Stab_397	T10 ketoprofen	Analyte		1.09	48139	188323	0.256	bb		
244	244	SP118414_20131030_CYP3A4_Stab_398	T5 ketoprofen	Analyte		1.09	47052	191784	0.245	bb		
245	245	SP118414_20131030_CYP3A4_Stab_399	T0 ketoprofen	Analyte		1.09	53171	204808	0.260	bb		
246	246	SP118414_20131030_CYP3A4_Stab_470	Blank ketoprofen	Analyte		1.08	561	192349	0.00292	MM		
247	247	SP118414_20131030_CYP3A4_Stab_471	T60 ketoprofen	Analyte		1.09	51011	191475	0.266	bb		
248	248	SP118414_20131030_CYP3A4_Stab_472	T30 ketoprofen	Analyte		1.09	50744	199730	0.254	bb		
